School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
ADELANTO ELEMENTARY,California,CA ,ADELANTO ELEMENTARY,060171000038,ADELANTO ELEM,0601710,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,ADELANTO,CA ,92301,17931 JONATHAN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELE HARRISON MIDDLE,California,CA ,ADELE HARRISON MIDDLE,063720010436,SONOMA VALLEY UNF,0637200,SONOMA COUNTY,06097,Reported 7 categories,06,2001-2014,1986-2000,SONOMA,CA ,95476,1150 BRD.WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADOBE BLUFFS ELEMENTARY,California,CA ,ADOBE BLUFFS ELEMENTARY,063153001203,POWAY UNF,0631530,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1992-2014,1986-1991,SAN DIEGO,CA ,92129,8707 ADOBE BLUFFS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADOLFO CAMARILLO HIGH,California,CA ,ADOLFO CAMARILLO HIGH,062927004516,OXNARD UNION HIGH,0629270,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,CAMARILLO,CA ,93012,4660 MISSION OAKS BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADRIAN WILCOX HIGH,California,CA ,ADRIAN WILCOX HIGH,063543006055,SANTA CLARA UNF,0635430,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SANTA CLARA,CA ,95051,3250 MONROE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AEOLIAN ELEMENTARY,California,CA ,AEOLIAN ELEMENTARY,062289003499,LOS NIETOS,0622890,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WHITTIER,CA ,90606,11600 AEOLIAN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AFFLERBAUGH-PAIGE CAMP,California,CA ,AFFLERBAUGH-PAIGE CAMP,069107812710,LOS ANGELES COUNTY OFFICE OF EDUCATION,0691078,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,LA VERNE,CA ,91750,6621 N. STEPHENS RANCH RD.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
AGGELER COMMUNITY DAY,California,CA ,AGGELER COMMUNITY DAY,062271011315,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2003-2014,1986-2002,CHATSWORTH,CA ,91311,21050 PLUMMER ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGNES J. JOHNSON  ELEMENTARY,California,CA ,AGNES J. JOHNSON  ELEMENTARY,063759006363,SOUTHERN HUMBOLDT JOINT UNF,0637590,HUMBOLDT COUNTY,06023,Reported 7 categories,06,1986-2014,,WEOTT,CA ,95571,73 SCH RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGNES L. SMITH ELEMENTARY,California,CA ,AGNES L. SMITH ELEMENTARY,061803002224,HUNTINGTON BEACH CITY ELEM,0618030,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,HUNTINGTON BEACH,CA ,92648,770 17TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGNES M. BAPTIST ELEMENTARY,California,CA ,AGNES M. BAPTIST ELEMENTARY,063795009643,STANISLAUS UNION ELEM,0637950,STANISLAUS COUNTY,06099,Reported 7 categories,06,1989-2014,1986-1988,MODESTO,CA ,95356,1825 CHEYENNE WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGNES WARE STANLEY ELEMENTARY,California,CA ,AGNES WARE STANLEY ELEMENTARY,061488001882,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92840,12201 ELMWOOD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGOURA HIGH,California,CA ,AGOURA HIGH,062100002518,LAS VIRGENES UNF,0621000,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,AGOURA,CA ,91301,28545 W. DR.R AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGUA CALIENTE ELEMENTARY,California,CA ,AGUA CALIENTE ELEMENTARY,062955004559,PALM SPRINGS UNF,0629550,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,CATHEDRAL CITY,CA ,92234,30-800 SAN LUIS REY PLAZA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AGUA DULCE ELEMENTARY,California,CA ,AGUA DULCE ELEMENTARY,060000106294,ACTON-AGUA DULCE UNF,0600001,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1993-2014,1986-1992,AGUA DULCE,CA ,91390,11311 W. FRASCATI ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AHWAHNEE HIGH,California,CA ,AHWAHNEE HIGH,060016007902,YOSEMITE UNF,0600160,MADERA COUNTY,06039,Reported 7 categories,06,2006-2014,1986-2005,OAKHURST,CA ,93644,50407 HANGTREE LN.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AHWAHNEE MIDDLE,California,CA ,AHWAHNEE MIDDLE,061455001704,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93710,1127 E. ESCALON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AILEEN COLBURN ELEMENTARY,California,CA ,AILEEN COLBURN ELEMENTARY,060342000256,ATWATER ELEM,0603420,MERCED COUNTY,06047,Reported 7 categories,06,1986-2014,,ATWATER,CA ,95301,2201 HELLER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AKERS ELEMENTARY,California,CA ,AKERS ELEMENTARY,060798000765,CENTRAL UNION ELEM,0607980,KINGS COUNTY,06031,Reported 7 categories,06,1986-2014,,N.A.S. LEMOORE,CA ,93245,CONSTELLATION AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
AKIRA YOKOMI ELEMENTARY,California,CA ,AKIRA YOKOMI ELEMENTARY,061455010778,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,2005-2014,1986-2004,FRESNO,CA ,93701,2323 E. MCKENZIE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALABAMA HILLS COMMUNITY DAY,California,CA ,ALABAMA HILLS COMMUNITY DAY,069101108490,INYO COUNTY OFFICE OF EDUCATION,0691011,INYO COUNTY,06027,Reported 7 categories,06,2000-2013,1986-1999 2014,,,,,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ALAIN LEROY LOCKE COLLEGE PREP ACADEMY,California,CA ,ANIMO LOCKE 1 COLLEGE PREPARATORY ACADEMY,062271012248,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2008-2014,1986-2007,LOS ANGELES,CA ,90061,325 E. 111TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ALAMEDA COMMUNITY LEARNING CENTER,California,CA ,ALAMEDA COMMUNITY LRN CENTER,060177008673,ALAMEDA CITY UNF,0601770,ALAMEDA COUNTY,06001,Reported 7 categories,06,2001-2014,1986-2000,ALAMEDA,CA ,94501,1900 THIRD ST,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ALAMEDA COUNTY COMMUNITY,California,CA ,ALAMEDA COUNTY COMMUNITY,069105106830,ALAMEDA COUNTY OFFICE OF EDUCATION,0691051,ALAMEDA COUNTY,06001,Reported 7 categories,06,1997-2014,1986-1996,HAYWARD,CA ,94544,313 W. WINTON AVE.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ALAMEDA COUNTY JUVENILE HALL/COURT,California,CA ,ALAMEDA COUNTY JUVENILE HALL/COURT,069105109264,ALAMEDA COUNTY OFFICE OF EDUCATION,0691051,ALAMEDA COUNTY,06001,Reported 7 categories,06,1987-2014,1986,SAN LEANDRO,CA ,94578,2500 FAIRMONT AVE.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ALAMEDA COUNTY OPPORTUNITY,California,CA ,ALAMEDA COUNTY OPPORTUNITY,069105109265,ALAMEDA COUNTY OFFICE OF EDUCATION,0691051,ALAMEDA COUNTY,06001,Reported 7 categories,06,1987-2014,1986,HAYWARD,CA ,94544,313 W. WINTON AVE.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ALAMEDA COUNTY SPECIAL EDUCATION,California,CA ,ALAMEDA COUNTY SPECIAL EDUCATION,069105108672,ALAMEDA COUNTY OFFICE OF EDUCATION,0691051,ALAMEDA COUNTY,06001,Reported 7 categories,06,2001-2002 2006-2014,1986-2000 2003-2005,HAYWARD,CA ,94544,313 W. WINTON AVE.,2-Special education school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ALAMEDA ELEMENTARY,California,CA ,ALAMEDA ELEMENTARY,061146001260,DOWNEY UNF,0611460,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,DOWNEY,CA ,90242,8613 E. ALAMEDA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMEDA HIGH,California,CA ,ALAMEDA HIGH,060177000041,ALAMEDA CITY UNF,0601770,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,ALAMEDA,CA ,94501,2201 ENCINAL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,CA ,ALAMEDA SCIENCE AND TECH INSTITUTE,060177010547,ALAMEDA CITY UNF,0601770,ALAMEDA COUNTY,06001,Reported 7 categories,06,2004-2014,1986-2003,ALAMEDA,CA ,94501,555 ATLANTIC AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMITOS INTERMEDIATE,California,CA ,ALAMITOS INTERMEDIATE,061488001822,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92841,12381 DALE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMO ELEMENTARY,California,CA ,ALAMO ELEMENTARY,063513005942,SAN RAMON VALLEY UNF,0635130,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,ALAMO,CA ,94507,100 WILSON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMO ELEMENTARY,California,CA ,ALAMO ELEMENTARY,064059006697,VACAVILLE UNF,0640590,SOLANO COUNTY,06095,Reported 7 categories,06,1986-2014,,VACAVILLE,CA ,95688,500 S. ORCHARD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMO ELEMENTARY,California,CA ,ALAMO ELEMENTARY,063441005582,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94121,250 23RD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMOS ELEMENTARY,California,CA ,ALAMOS ELEMENTARY,060002811039,TEMECULA VALLEY UNF,0600028,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2004-2014,1986-2003,MURRIETA,CA ,92563,38200 PACIFIC PARK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALAMOSA PARK ELEMENTARY,California,CA ,ALAMOSA PARK ELEMENTARY,064119009204,VISTA UNF,0641190,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1987-2014,1986,OCEANSIDE,CA ,92057,5130 ALAMOSA PARK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBA,California,CA ,ALBA,063432007682,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1998-2014,1986-1997,SAN DIEGO,CA ,92104,4041 OREGON ST,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBANY HIGH,California,CA ,ALBANY HIGH,060186000059,ALBANY CITY UNF,0601860,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,ALBANY,CA ,94706,603 KEY ROUTE BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBANY MIDDLE,California,CA ,ALBANY MIDDLE,060186000060,ALBANY CITY UNF,0601860,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,ALBANY,CA ,94706,1259 BRIGHTON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBANY PARK ELEMENTARY,California,CA ,ALBANY PARK ELEMENTARY,061089007275,DELANO UNION ELEM,0610890,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,DELANO,CA ,93215,235 W. 20TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT A. MICHELSON ELEMENTARY,California,CA ,ALBERT A. MICHELSON ELEMENTARY,064068006715,VALLECITO UNION,0640680,CALAVERAS COUNTY,06009,Reported 7 categories,06,1986-2014,,MURPHYS,CA ,95247,196 PENNSYLVANIA GULCH RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT BAXTER ELEMENTARY,California,CA ,ALBERT BAXTER ELEMENTARY,060444005836,BELLFLOWER UNF,0604440,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1996-2014,1986-1995,BELLFLOWER,CA ,90706,14929 CERRITOS AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,California,CA ,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,063432011766,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2006-2014,1986-2005,SAN DIEGO,CA ,92102,458 26TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIE,California,CA ,ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIEN,064251012655,WILLIAM S. HART UNION HIGH,0642510,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,SANTA CLARITA,CA ,91355,28141 KELLY JOHNSON PKWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ALBERT EINSTEIN CONTINUATION,California,CA ,ALBERT EINSTEIN CONTINUATION,062271002976,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,NORTH HILLS,CA ,91343,15938 TUPPER ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT EINSTEIN MIDDLE,California,CA ,ALBERT EINSTEIN MIDDLE,063384005219,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95826,9325 MIRANDY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT F. BIELLA ELEMENTARY,California,CA ,ALBERT F. BIELLA ELEMENTARY,063581009635,SANTA ROSA ELEM,0635810,SONOMA COUNTY,06097,Reported 7 categories,06,1989-2014,1986-1988,SANTA ROSA,CA ,95401,2140 JENNINGS AVE.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
ALBERT POWELL CONTINUATION,California,CA ,ALBERT POWELL CONTINUATION,064347007028,YUBA CITY UNF,0643470,SUTTER COUNTY,06101,Reported 7 categories,06,1986-2014,,YUBA CITY,CA ,95991,1875 CLARK AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT SCHWEITZER ELEMENTARY,California,CA ,ALBERT SCHWEITZER ELEMENTARY,063462005818,SAN JUAN UNF,0634620,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,CARMICHAEL,CA ,95608,4350 GLENRIDGE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERT SCHWEITZER ELEMENTARY,California,CA ,ALBERT SCHWEITZER ELEMENTARY,062343003564,MAGNOLIA ELEM,0623430,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,ANAHEIM,CA ,92804,229 S. DALE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBERTA MARTONE ELEMENTARY,California,CA ,ALBERTA MARTONE ELEMENTARY,062513009156,MODESTO CITY ELEM,0625130,STANISLAUS COUNTY,06099,Reported 7 categories,06,1987-2014,1986,MODESTO,CA ,95358,1413 POUST RD.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
ALBION ELEMENTARY,California,CA ,ALBION ELEMENTARY,062448008196,MENDOCINO UNF,0624480,MENDOCINO COUNTY,06045,Reported 7 categories,06,1999-2014,1986-1998,ALBION,CA ,95410,30400 ALBION RIDGE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALBION STREET ELEMENTARY,California,CA ,ALBION STREET ELEMENTARY,062271002803,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90031,322 S. AVE. 18,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALCOTT ELEMENTARY,California,CA ,ALCOTT ELEMENTARY,063315005130,RIVERSIDE UNF,0633150,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,RIVERSIDE,CA ,92506,2433 CENTRAL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALCOTT ELEMENTARY,California,CA ,ALCOTT ELEMENTARY,063432005408,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92117,4680 HIDALGO AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALCOTT ELEMENTARY,California,CA ,ALCOTT ELEMENTARY,063132004834,POMONA UNF,0631320,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,POMONA,CA ,91766,1600 S. TOWNE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALDAMA ELEMENTARY,California,CA ,ALDAMA ELEMENTARY,062271002804,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90042,632 N. AVE. 50,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ALDER CREEK MIDDLE,California,CA ,ALDER CREEK MIDDLE,063877011005,TAHOE-TRUCKEE JOINT UNF,0638770,NEVADA COUNTY,06057,Reported 7 categories,06,2004-2014,1986-2003,TRUCKEE,CA ,96161,10931 ALDER DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
